Sept. 22, 2024   14:12:14
Linear Sweep Voltammetry
File: c:\users\19156\desktop\rawraw\orr_all\orr_pt_c_16000 rpm_rde.txt
Data Source:  Experiment
Instrument Model:  CHI440B
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = -1
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Results:

Channel 1:
-0.073, -1.810e-4
-0.074, -1.850e-4
-0.075, -1.870e-4
-0.076, -1.910e-4
-0.077, -1.940e-4
-0.078, -1.970e-4
-0.079, -2.000e-4
-0.080, -2.030e-4
-0.081, -2.060e-4
-0.082, -2.090e-4
-0.083, -2.120e-4
-0.084, -2.150e-4
-0.085, -2.180e-4
-0.086, -2.210e-4
-0.087, -2.240e-4
-0.088, -2.270e-4
-0.089, -2.300e-4
-0.090, -2.330e-4
-0.091, -2.360e-4
-0.092, -2.390e-4
-0.093, -2.410e-4
-0.094, -2.440e-4
-0.095, -2.470e-4
-0.096, -2.500e-4
-0.097, -2.520e-4
-0.098, -2.550e-4
-0.099, -2.580e-4
-0.100, -2.600e-4
-0.101, -2.620e-4
-0.102, -2.650e-4
-0.103, -2.670e-4
-0.104, -2.700e-4
-0.105, -2.720e-4
-0.106, -2.750e-4
-0.107, -2.770e-4
-0.108, -2.790e-4
-0.109, -2.810e-4
-0.110, -2.830e-4
-0.111, -2.850e-4
-0.112, -2.870e-4
-0.113, -2.890e-4
-0.114, -2.910e-4
-0.115, -2.930e-4
-0.116, -2.950e-4
-0.117, -2.970e-4
-0.118, -2.990e-4
-0.119, -3.000e-4
-0.120, -3.020e-4
-0.121, -3.040e-4
-0.122, -3.060e-4
-0.123, -3.070e-4
-0.124, -3.090e-4
-0.125, -3.110e-4
-0.126, -3.120e-4
-0.127, -3.140e-4
-0.128, -3.150e-4
-0.129, -3.170e-4
-0.130, -3.180e-4
-0.131, -3.200e-4
-0.132, -3.210e-4
-0.133, -3.230e-4
-0.134, -3.240e-4
-0.135, -3.250e-4
-0.136, -3.260e-4
-0.137, -3.270e-4
-0.138, -3.280e-4
-0.139, -3.300e-4
-0.140, -3.310e-4
-0.141, -3.320e-4
-0.142, -3.330e-4
-0.143, -3.350e-4
-0.144, -3.360e-4
-0.145, -3.370e-4
-0.146, -3.380e-4
-0.147, -3.390e-4
-0.148, -3.410e-4
-0.149, -3.410e-4
-0.150, -3.430e-4
-0.151, -3.440e-4
-0.152, -3.450e-4
-0.153, -3.460e-4
-0.154, -3.470e-4
-0.155, -3.480e-4
-0.156, -3.490e-4
-0.157, -3.500e-4
-0.158, -3.510e-4
-0.159, -3.510e-4
-0.160, -3.520e-4
-0.161, -3.530e-4
-0.162, -3.540e-4
-0.163, -3.550e-4
-0.164, -3.560e-4
-0.165, -3.560e-4
-0.166, -3.580e-4
-0.167, -3.580e-4
-0.168, -3.580e-4
-0.169, -3.600e-4
-0.170, -3.600e-4
-0.171, -3.610e-4
-0.172, -3.620e-4
-0.173, -3.630e-4
-0.174, -3.630e-4
-0.175, -3.630e-4
-0.176, -3.640e-4
-0.177, -3.650e-4
-0.178, -3.660e-4
-0.179, -3.660e-4
-0.180, -3.670e-4
-0.181, -3.680e-4
-0.182, -3.680e-4
-0.183, -3.690e-4
-0.184, -3.700e-4
-0.185, -3.700e-4
-0.186, -3.710e-4
-0.187, -3.720e-4
-0.188, -3.720e-4
-0.189, -3.730e-4
-0.190, -3.730e-4
-0.191, -3.740e-4
-0.192, -3.740e-4
-0.193, -3.750e-4
-0.194, -3.760e-4
-0.195, -3.760e-4
-0.196, -3.760e-4
-0.197, -3.770e-4
-0.198, -3.770e-4
-0.199, -3.770e-4
-0.200, -3.780e-4
-0.201, -3.790e-4
-0.202, -3.790e-4
-0.203, -3.790e-4
-0.204, -3.800e-4
-0.205, -3.800e-4
-0.206, -3.810e-4
-0.207, -3.810e-4
-0.208, -3.810e-4
-0.209, -3.820e-4
-0.210, -3.820e-4
-0.211, -3.830e-4
-0.212, -3.830e-4
-0.213, -3.830e-4
-0.214, -3.840e-4
-0.215, -3.840e-4
-0.216, -3.850e-4
-0.217, -3.850e-4
-0.218, -3.850e-4
-0.219, -3.850e-4
-0.220, -3.850e-4
-0.221, -3.860e-4
-0.222, -3.860e-4
-0.223, -3.870e-4
-0.224, -3.870e-4
-0.225, -3.870e-4
-0.226, -3.870e-4
-0.227, -3.870e-4
-0.228, -3.880e-4
-0.229, -3.880e-4
-0.230, -3.890e-4
-0.231, -3.890e-4
-0.232, -3.890e-4
-0.233, -3.890e-4
-0.234, -3.900e-4
-0.235, -3.900e-4
-0.236, -3.900e-4
-0.237, -3.900e-4
-0.238, -3.900e-4
-0.239, -3.900e-4
-0.240, -3.910e-4
-0.241, -3.910e-4
-0.242, -3.910e-4
-0.243, -3.910e-4
-0.244, -3.910e-4
-0.245, -3.920e-4
-0.246, -3.920e-4
-0.247, -3.920e-4
-0.248, -3.920e-4
-0.249, -3.920e-4
-0.250, -3.920e-4
-0.251, -3.920e-4
-0.252, -3.930e-4
-0.253, -3.930e-4
-0.254, -3.930e-4
-0.255, -3.930e-4
-0.256, -3.930e-4
-0.257, -3.930e-4
-0.258, -3.930e-4
-0.259, -3.940e-4
-0.260, -3.940e-4
-0.261, -3.940e-4
-0.262, -3.940e-4
-0.263, -3.940e-4
-0.264, -3.940e-4
-0.265, -3.940e-4
-0.266, -3.940e-4
-0.267, -3.940e-4
-0.268, -3.940e-4
-0.269, -3.940e-4
-0.270, -3.940e-4
-0.271, -3.940e-4
-0.272, -3.940e-4
-0.273, -3.940e-4
-0.274, -3.940e-4
-0.275, -3.940e-4
-0.276, -3.940e-4
-0.277, -3.940e-4
-0.278, -3.950e-4
-0.279, -3.950e-4
-0.280, -3.950e-4
-0.281, -3.950e-4
-0.282, -3.950e-4
-0.283, -3.950e-4
-0.284, -3.950e-4
-0.285, -3.940e-4
-0.286, -3.940e-4
-0.287, -3.940e-4
-0.288, -3.940e-4
-0.289, -3.940e-4
-0.290, -3.940e-4
-0.291, -3.940e-4
-1.000, -3.940e-4
