Sept. 4, 2025   10:12:00
Tafel Plot
File: c:\users\19156\desktop\10_dark.txt
Data Source:  Experiment
Instrument Model:  CHI760F
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.5
Segment = 1
Hold Time at Ef (sec) = 0
Scan Rate (V/s) = 0.01
Quiet Time (sec) = 2

Potential/V, Current/A, log(i/A)
0.059, 2.340e-7, -6.631e+0
0.058, 2.310e-7, -6.636e+0
0.057, 2.200e-7, -6.658e+0
0.056, 2.180e-7, -6.662e+0
0.055, 2.110e-7, -6.676e+0
0.054, 2.100e-7, -6.678e+0
0.053, 2.030e-7, -6.693e+0
0.052, 1.980e-7, -6.703e+0
0.051, 2.040e-7, -6.690e+0
0.050, 1.920e-7, -6.717e+0
0.049, 1.890e-7, -6.724e+0
0.048, 1.910e-7, -6.719e+0
0.047, 1.820e-7, -6.740e+0
0.046, 1.790e-7, -6.747e+0
0.045, 1.680e-7, -6.775e+0
0.044, 1.610e-7, -6.793e+0
0.043, 1.630e-7, -6.788e+0
0.042, 1.590e-7, -6.799e+0
0.041, 1.520e-7, -6.818e+0
0.040, 1.490e-7, -6.827e+0
0.039, 1.450e-7, -6.839e+0
0.038, 1.430e-7, -6.845e+0
0.037, 1.360e-7, -6.866e+0
0.036, 1.250e-7, -6.903e+0
0.035, 1.220e-7, -6.914e+0
0.034, 1.120e-7, -6.951e+0
0.033, 1.100e-7, -6.959e+0
0.032, 1.040e-7, -6.983e+0
0.031, 1.040e-7, -6.983e+0
0.030, 1.020e-7, -6.991e+0
0.029, 9.270e-8, -7.033e+0
0.028, 9.350e-8, -7.029e+0
0.027, 8.950e-8, -7.048e+0
0.026, 8.460e-8, -7.073e+0
0.025, 8.060e-8, -7.094e+0
0.024, 7.330e-8, -7.135e+0
0.023, 7.490e-8, -7.126e+0
0.022, 6.600e-8, -7.180e+0
0.021, 6.600e-8, -7.180e+0
0.020, 5.790e-8, -7.237e+0
0.019, 5.950e-8, -7.225e+0
0.018, 6.030e-8, -7.220e+0
0.017, 4.980e-8, -7.303e+0
0.016, 4.820e-8, -7.317e+0
0.015, 4.010e-8, -7.397e+0
0.014, 3.930e-8, -7.406e+0
0.013, 4.340e-8, -7.363e+0
0.012, 3.360e-8, -7.474e+0
0.011, 3.280e-8, -7.484e+0
0.010, 2.960e-8, -7.529e+0
0.009, 2.720e-8, -7.565e+0
0.008, 2.230e-8, -7.652e+0
0.007, 1.660e-8, -7.780e+0
0.006, 1.830e-8, -7.738e+0
0.005, 1.180e-8, -7.928e+0
0.004, 8.550e-9, -8.068e+0
0.003, 9.360e-9, -8.029e+0
0.002, 6.930e-9, -8.159e+0
0.001, 4.550e-10, -9.342e+0
0.000, -3.540e-10, -9.451e+0
-0.001, -3.540e-10, -9.451e+0
-0.002, -4.400e-9, -8.357e+0
-0.003, -1.090e-8, -7.963e+0
-0.004, -1.490e-8, -7.827e+0
-0.005, -1.820e-8, -7.740e+0
-0.006, -1.980e-8, -7.703e+0
-0.007, -2.460e-8, -7.609e+0
-0.008, -2.300e-8, -7.638e+0
-0.009, -2.220e-8, -7.654e+0
-0.010, -2.790e-8, -7.554e+0
-0.011, -3.110e-8, -7.507e+0
-0.012, -3.520e-8, -7.453e+0
-0.013, -4.080e-8, -7.389e+0
-0.014, -4.810e-8, -7.318e+0
-0.015, -4.490e-8, -7.348e+0
-0.016, -4.650e-8, -7.333e+0
-0.017, -4.810e-8, -7.318e+0
-0.018, -4.730e-8, -7.325e+0
-0.019, -4.410e-8, -7.356e+0
-0.020, -5.460e-8, -7.263e+0
-0.021, -4.730e-8, -7.325e+0
-0.022, -5.780e-8, -7.238e+0
-0.023, -5.540e-8, -7.256e+0
-0.024, -5.460e-8, -7.263e+0
-0.025, -5.700e-8, -7.244e+0
-0.026, -6.350e-8, -7.197e+0
-0.027, -6.590e-8, -7.181e+0
-0.028, -6.350e-8, -7.197e+0
-0.029, -6.590e-8, -7.181e+0
-0.030, -7.000e-8, -7.155e+0
-0.031, -7.480e-8, -7.126e+0
-0.032, -8.530e-8, -7.069e+0
-0.033, -7.810e-8, -7.107e+0
-0.034, -8.860e-8, -7.053e+0
-0.035, -8.370e-8, -7.077e+0
-0.036, -8.130e-8, -7.090e+0
-0.037, -7.970e-8, -7.099e+0
-0.038, -8.050e-8, -7.094e+0
-0.039, -8.700e-8, -7.060e+0
-0.040, -9.020e-8, -7.045e+0
-0.041, -9.910e-8, -7.004e+0
-0.042, -1.010e-7, -6.996e+0
-0.043, -1.020e-7, -6.991e+0
-0.044, -1.010e-7, -6.996e+0
-0.045, -9.750e-8, -7.011e+0
-0.046, -9.830e-8, -7.007e+0
-0.047, -9.590e-8, -7.018e+0
-0.048, -9.590e-8, -7.018e+0
-0.049, -1.010e-7, -6.996e+0
-0.050, -1.020e-7, -6.991e+0
-0.051, -1.040e-7, -6.983e+0
-0.052, -1.020e-7, -6.991e+0
-0.053, -9.910e-8, -7.004e+0
-0.054, -1.010e-7, -6.996e+0
-0.055, -1.020e-7, -6.991e+0
-0.056, -9.990e-8, -7.000e+0
-0.057, -1.020e-7, -6.991e+0
-0.058, -1.040e-7, -6.983e+0
-0.059, -1.050e-7, -6.979e+0
-0.060, -9.830e-8, -7.007e+0
-0.061, -1.020e-7, -6.991e+0
-0.062, -1.100e-7, -6.959e+0
-0.063, -1.130e-7, -6.947e+0
-0.064, -1.110e-7, -6.955e+0
-0.065, -1.150e-7, -6.939e+0
-0.066, -1.170e-7, -6.932e+0
-0.067, -1.130e-7, -6.947e+0
-0.068, -1.150e-7, -6.939e+0
-0.069, -1.180e-7, -6.928e+0
-0.070, -1.150e-7, -6.939e+0
-0.071, -1.190e-7, -6.924e+0
-0.072, -1.200e-7, -6.921e+0
-0.073, -1.290e-7, -6.889e+0
-0.074, -1.320e-7, -6.879e+0
-0.075, -1.270e-7, -6.896e+0
-0.076, -1.320e-7, -6.879e+0
-0.077, -1.350e-7, -6.870e+0
-0.078, -1.300e-7, -6.886e+0
-0.079, -1.380e-7, -6.860e+0
-0.080, -1.380e-7, -6.860e+0
-0.081, -1.370e-7, -6.863e+0
-0.082, -1.340e-7, -6.873e+0
-0.083, -1.340e-7, -6.873e+0
-0.084, -1.360e-7, -6.866e+0
-0.085, -1.400e-7, -6.854e+0
-0.086, -1.380e-7, -6.860e+0
-0.087, -1.410e-7, -6.851e+0
-0.088, -1.400e-7, -6.854e+0
-0.089, -1.320e-7, -6.879e+0
-0.090, -1.350e-7, -6.870e+0
-0.091, -1.380e-7, -6.860e+0
-0.092, -1.360e-7, -6.866e+0
-0.093, -1.400e-7, -6.854e+0
-0.094, -1.430e-7, -6.845e+0
-0.095, -1.390e-7, -6.857e+0
-0.096, -1.400e-7, -6.854e+0
-0.097, -1.340e-7, -6.873e+0
-0.098, -1.400e-7, -6.854e+0
-0.099, -1.400e-7, -6.854e+0
-0.100, -1.410e-7, -6.851e+0
-0.101, -1.370e-7, -6.863e+0
-0.102, -1.360e-7, -6.866e+0
-0.103, -1.380e-7, -6.860e+0
-0.104, -1.390e-7, -6.857e+0
-0.105, -1.390e-7, -6.857e+0
-0.106, -1.360e-7, -6.866e+0
-0.107, -1.340e-7, -6.873e+0
-0.108, -1.380e-7, -6.860e+0
-0.109, -1.450e-7, -6.839e+0
-0.110, -1.500e-7, -6.824e+0
-0.111, -1.520e-7, -6.818e+0
-0.112, -1.520e-7, -6.818e+0
-0.113, -1.440e-7, -6.842e+0
-0.114, -1.450e-7, -6.839e+0
-0.115, -1.460e-7, -6.836e+0
-0.116, -1.520e-7, -6.818e+0
-0.117, -1.510e-7, -6.821e+0
-0.118, -1.490e-7, -6.827e+0
-0.119, -1.490e-7, -6.827e+0
-0.120, -1.490e-7, -6.827e+0
-0.121, -1.490e-7, -6.827e+0
-0.122, -1.500e-7, -6.824e+0
-0.123, -1.430e-7, -6.845e+0
-0.124, -1.380e-7, -6.860e+0
-0.125, -1.440e-7, -6.842e+0
-0.126, -1.460e-7, -6.836e+0
-0.127, -1.500e-7, -6.824e+0
-0.128, -1.440e-7, -6.842e+0
-0.129, -1.420e-7, -6.848e+0
-0.130, -1.460e-7, -6.836e+0
-0.131, -1.480e-7, -6.830e+0
-0.132, -1.530e-7, -6.815e+0
-0.133, -1.580e-7, -6.801e+0
-0.134, -1.610e-7, -6.793e+0
-0.135, -1.650e-7, -6.783e+0
-0.136, -1.640e-7, -6.785e+0
-0.137, -1.640e-7, -6.785e+0
-0.138, -1.620e-7, -6.790e+0
-0.139, -1.570e-7, -6.804e+0
-0.140, -1.610e-7, -6.793e+0
-0.141, -1.640e-7, -6.785e+0
-0.142, -1.640e-7, -6.785e+0
-0.143, -1.650e-7, -6.783e+0
-0.144, -1.600e-7, -6.796e+0
-0.145, -1.680e-7, -6.775e+0
-0.146, -1.630e-7, -6.788e+0
-0.147, -1.720e-7, -6.764e+0
-0.148, -1.690e-7, -6.772e+0
-0.149, -1.720e-7, -6.764e+0
-0.150, -1.660e-7, -6.780e+0
-0.151, -1.700e-7, -6.770e+0
-0.152, -1.650e-7, -6.783e+0
-0.153, -1.630e-7, -6.788e+0
-0.154, -1.610e-7, -6.793e+0
-0.155, -1.590e-7, -6.799e+0
-0.156, -1.620e-7, -6.790e+0
-0.157, -1.670e-7, -6.777e+0
-0.158, -1.620e-7, -6.790e+0
-0.159, -1.670e-7, -6.777e+0
-0.160, -1.610e-7, -6.793e+0
-0.161, -1.660e-7, -6.780e+0
-0.162, -1.670e-7, -6.777e+0
-0.163, -1.700e-7, -6.770e+0
-0.164, -1.700e-7, -6.770e+0
-0.165, -1.740e-7, -6.759e+0
-0.166, -1.730e-7, -6.762e+0
-0.167, -1.740e-7, -6.759e+0
-0.168, -1.720e-7, -6.764e+0
-0.169, -1.680e-7, -6.775e+0
-0.170, -1.680e-7, -6.775e+0
-0.171, -1.730e-7, -6.762e+0
-0.172, -1.760e-7, -6.754e+0
